product_id,old_sku,new_sku,name
13887,,TZ-NINT-MEGA-B424,"Mega Man Zero/Zx Legacy Collection"
13886,,TZ-NINT-MAXT-5537,"Max: The Curse of Brotherhood"
13881,,TZ-NINT-MARI-4A73,"Mario Golf Super Rush"
13876,,TZ-NINT-LAMU-AC68,"La-Mulana 1 & 2"
13875,,TZ-NINT-KNOC-7012,"Knockout Home Fitness"
13870,,TZ-NINT-KILL-303E,"Kill la Kill - IF"
13869,,TZ-NINT-KEMC-087A,"Kemco RPG Omnibus"
13863,,TZ-BRAN-IMMO-95CD,"Immortals: Fenyx Rising"
13861,,TZ-NINT-HYRU-E19A,"Hyrule Warriors: Age of Calamity Definitive Edition"
13860,,TZ-NINT-HYRU-0C98,"Hyrule Warriors: Age of Calamity"
13858,,TZ-NINT-HASB-61D8,"Has Been Heroes"
13857,,TZ-NINT-HARV-289B,"Harvestella"
13853,,TZ-NINT-GEOR-76D6,"Georifters"
13852,,TZ-NINT-GALM-B8AA,"Gal Meta - World Tour Edition"
13850,,TZ-NINT-FATA-6C08,"Fatal Frame: Maiden of Black Water"
13849,,TZ-NINT-FRID-D963,"Friday The 13th: The Game Ultimate Slasher Edition"
13847,,TZ-NINT-FIRE-CD20,"Fire Emblem Warriors"
13846,,TZ-BRAN-FIRE-2A66,"Fire Emblem: Three Houses"
13843,,TZ-NINT-FATE-3D67,"Fate Exello Link"
13842,,TZ-NINT-FARM-765E,"Farming Simulator 23"
13839,,TZ-NINT-DYIN-930B,"Dying Light Platinum Edition"
13837,,TZ-NINT-DRAG-2BF8,"DragonBall Xenoverse 2"
13836,,TZ-NINT-DRAG-F4A1,"Dragon Ball Fighrerz"
13835,,TZ-NINT-DRAG-699F,"Dragon Quest Treasures"
13830,,TZ-BRAN-DISN-426A,"Disney Tsum Tsum Festival"
13829,,TZ-NINT-DIAB-5C66,"Diablo III: Eternal Collection"
13821,,TZ-NINT-COLL-92F8,"Collar X Malice"
13818,,TZ-BRAN-CAPT-FBF6,"Captain Toad: Treasure Tracker"
13817,,TZ-NINT-CAND-7706,"Candle: The Power Of The Flame"
13814,,TZ-NINT-BLOO-DD92,"Bloodstained: Ritual Of The Night"
13813,,TZ-NINT-BAYO-718D,"Bayonetta Origins: Cereza And The Lost Demon"
13810,,TZ-NINT-BAYO-A6F8,"Bayonetta"
13809,,TZ-NINT-BATT-283C,"Battle World: Kronos"
13808,,TZ-NINT-BATT-5445,"Battle Axe"
13806,,TZ-NINT-BASS-2FA5,"Bass Pro Shops The Strike Championship Edition"
13805,,TZ-NINT-BAKU-BAE0,"Bakugan: Champions of Vestroia"
13803,,TZ-NINT-ASTR-E160,"Astral Chain"
13800,,TZ-NINT-ASSA-B589,"Assassin's Creed III Remastered"
13796,,TZ-NINT-AETE-8964,"Aeternoblade II"
13781,,TZ-EXTE-1YEA-045C,"+1 Year Store Warranty Extension (VR Headset)"
13780,,TZ-EXTE-1YEA-FAD2,"+1 Year Store Warranty Extension (VR Glasses)"
13779,,TZ-CAME-1YEA-1A68,"+1 Year Store Warranty Extension (Cameras)"
13735,,TZ-EXTE-1YEA-A50F,"+1 Year Store Warranty Extension (Handheld Console)"
13733,,TZ-EXTE-1YEA-42BC,"+1 Year Store Warranty Extension (PC Parts)"
13732,,TZ-CONS-1YEA-E9E8,"+1 Year Store Warranty Extension (PS4 Consoles)"
13595,,TZ-GADG-ASUS-965C,"Asus ROG AllyXBOX / Ally X / Ally 512GB/1TB/2TB/4TB"
13434,,TZ-CONS-1YEA-3527,"+1 Year Store Warranty Extension (PS5 Consoles)"
13445,,TZ-STOR-LEXA-0ABC,"Lexar NM790"
13441,,TZ-CHAR-PROL-B41A,"Prolink 120W 4-Port GaN Fast PPS PD Charger"
13439,,TZ-CHAR-PROL-17E9,"Prolink GT-314001 140W GaN Fast PD3.1 Charger"
13300,,TZ-PCFA-DARK-C6CA," DarkFlash Infinity 8 PWM ARGB 5in1 Fan Pack with Controller (WHITE)"
13284,,TZ-CPUC-NZXT-2454,"NZXT KRAKEN Elite RGB WHITE 360mm / 240mm"
13282,,TZ-CPUC-NZXT-1DF1,"NZXT KRAKEN Elite RGB BLACK 240mm"
8144,,TZ-SCRE-ROGX-A704,"ROG Xbox Ally X/Ally X Screen Protector"
8112,,TZ-PLAY-WOLF-E2BC,"Wolfenstein 2"
8111,,TZ-PLAY-WARR-496F,"Warriors Orochi 3 Ultimate"
8110,,TZ-PLAY-WORL-99F8,"World of Final Fantasy"
8109,,TZ-PLAY-VALK-0C2A,"Valkyria Chronicles 4"
8108,,TZ-PLAY-UNCH-0D8B,"Uncharted: The Lost Legacy"
8107,,TZ-PLAY-UNCH-DA2C,"Uncharted 4: A Thief's End"
8106,,TZ-PLAY-UNCH-3753,"Uncharted 4: A Theif's End/Horizon Zero Dawn/God of War III Remastered"
8105,,TZ-PLAY-UNTI-D3D4,"Until Dawn"
8104,,TZ-PLAY-TOUK-6597,"Toukiden 2"
8103,,TZ-PLAY-THET-8CBA,"The Talos Principle Deluxe Edition"
8102,,TZ-PLAY-THEW-FEE6,"The Witcher 3: Wild Hunt"
8101,,TZ-PLAY-THEE-A2AF,"The Elder Scrolls Online"
8100,,TZ-PLAY-THEI-94CA,"The Idolmaster: Stella Stage"
